ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE	DESEGMENTED
87	tʰ ə.ɴ ᴬ/⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	ProtoKaren	*thəNᴬ	tʰ ə ɴ ⁵⁵	*thəNᴬ			tʰ ə.ɴ ⁵⁵
624	tʰ ɔ ³³	85	1	Dipterocarpus tuberculatus Roxb	Kayah	thɔ³³	tʰ ɔ ³³	thɔ³³			tʰ ɔ ³³
915	tʰ ə ⁵³	85	1	Dipterocarpus tuberculatus Roxb	Kayan	thə⁵³	tʰ ə ⁵³	thə⁵³			tʰ ə ⁵³
1216	tʰ ə ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	Kayaw	thə⁵⁵	tʰ ə ⁵⁵	thə⁵⁵			tʰ ə ⁵⁵
1519	!t/tʰ ə̤.ŋ ³¹	85	1	Dipterocarpus tuberculatus Roxb	NorthernPao	təŋ³¹̈	tʰ ə̤ ŋ ³¹	təŋ³¹ ̈			tʰ ə̤.ŋ ³¹
1806	tʰ ɑ̃ ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	NorthernPwo	thɑ̃⁵⁵	tʰ ɑ̃ ⁵⁵	thɑ̃⁵⁵			tʰ ɑ̃ ⁵⁵
2092	tʰ ə ³³	85	1	Dipterocarpus tuberculatus Roxb	NorthernSgaw	thə³³	tʰ ə ³³	thə³³			tʰ ə ³³
2965	tʰ ɔ ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	SouthernSgaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵			tʰ ɔ ⁵⁵
1	l o.ʔ/ʔ̚ ᴰ/⁵¹	1	10	all, all gone, whole	ProtoKaren	*loɁᴰ	l o ʔ̚ ⁵¹	*loɁᴰ			l o.ʔ̚ ⁵¹
549	l ɔ ³³	1	10	all, all gone, whole	Kayah	lɔ³³	l ɔ ³³	lɔ³³			l ɔ ³³
847	l ɔ.ʔ ³³	1	10	all, all gone, whole	Kayan	lɔɁ³³	l ɔ ʔ ³³	lɔɁ³³			l ɔ.ʔ ³³
1139	l ə ³³	1	10	all, all gone, whole	Kayaw	lə³³	l ə ³³	lə³³			l ə ³³
1453	l o.ʔ ⁴⁵	1	10	all, all gone, whole	NorthernPao	loɁ⁴⁵	l o ʔ ⁴⁵	loɁ⁴⁵			l o.ʔ ⁴⁵
1732	l au.ʔ ²¹	1	10	all, all gone, whole	NorthernPwo	lauɁ²¹	l au ʔ ²¹	lauɁ²¹			l au.ʔ ²¹
2013	l !ə/u.ʔ ²¹	1	10	all, all gone, whole	NorthernSgaw	ləɁ²¹	l u ʔ ²¹	(khɛ³³)ləɁ²¹			l u.ʔ ²¹
2325	l u.ʔ ⁴⁵	1	10	all, all gone, whole	SouthernPao	luɁ⁴⁵	l u ʔ ⁴⁵	luɁ⁴⁵			l u.ʔ ⁴⁵
2591	l ɔu.ʔ ⁴⁵	1	10	all, all gone, whole	SouthernPwo	lɔuɁ⁴⁵	l ɔu ʔ ⁴⁵	lɔuɁ⁴⁵			l ɔu.ʔ ⁴⁵
2888	l ɔu ¹¹	1	10	all, all gone, whole	SouthernSgaw	lɔu¹¹	l ɔu ¹¹	lɔu¹¹			l ɔu ¹¹
2	d ə.ŋ ᴮ/¹¹	2	21	ant	ProtoKaren	*dəŋᴮ	d ə ŋ ¹¹	*dəŋᴮ			d ə.ŋ ¹¹
550	t ɔ ¹¹	2	21	ant	Kayah	tɔ¹¹	t ɔ ¹¹	tɔ¹¹			t ɔ ¹¹
848	t ə ¹¹	2	21	ant	Kayan	tə¹¹	t ə ¹¹	tə¹¹			t ə ¹¹
1140	t ə ¹¹	2	21	ant	Kayaw	tə¹¹	t ə ¹¹	tə¹¹			t ə ¹¹
1454	!t/tʰ ə.ŋ ⁵³	2	21	ant	NorthernPao	təŋ⁵³	tʰ ə ŋ ⁵³	təŋ⁵³			tʰ ə.ŋ ⁵³
1733	tʰ ã ɦ.¹¹	2	21	ant	NorthernPwo	thã¹¹̈	tʰ ã ɦ ¹¹	thã¹¹ ̈			tʰ ã ɦ.¹¹
2014	t ə ɦ.¹¹	2	21	ant	NorthernSgaw	tə¹¹̈	t ə ɦ ¹¹	tə¹¹ ̈			t ə ɦ.¹¹
2326	t ə.ŋ ⁵⁵	2	21	ant	SouthernPao	təŋ⁵⁵	t ə ŋ ⁵⁵	təŋ⁵⁵			t ə.ŋ ⁵⁵
2592	tʰ ə̃ɨ̯ ³³	2	21	ant	SouthernPwo	thə̃ɨ̯³³	tʰ ə̃ɨ̯ ³³	thə̃ɨ̯ ³³			tʰ ə̃ɨ̯ ³³
2889	t ə ³¹	2	21	ant	SouthernSgaw	tə³¹	t ə ³¹	tə³¹			t ə ³¹
3188	d o ³³	2	21	ant	WesternBwe	do³³	d o ³³	do³³			d o ³³
3	!t/d ə ᴮ/¹¹	3	33	arrive	ProtoKaren	*təᴮ	d ə ¹¹	*təᴮ		Pattern suggests *d for Proto-Karen	d ə ¹¹
551	t o ¹¹	3	33	arrive	Kayah	to¹¹	t o ¹¹	to¹¹			t o ¹¹
849	t əɨ ¹¹	3	33	arrive	Kayan	təɨ̯_¹¹	t əɨ ¹¹	təɨ̯ ¹¹			t əɨ ¹¹
1141	t ə ¹¹	3	33	arrive	Kayaw	tə¹¹	t ə ¹¹	tə¹¹			t ə ¹¹
1455	!t/tʰ ə ⁵⁵	3	33	arrive	NorthernPao	tə⁵⁵	tʰ ə ⁵⁵	tə⁵⁵			tʰ ə ⁵⁵
1734	tʰ ɔ !³³/³¹	3	33	arrive	NorthernPwo	thɔ³³	tʰ ɔ ³¹	thɔ³³			tʰ ɔ ³¹
2015	t ɨ ³³	3	33	arrive	NorthernSgaw	tɨ³³	t ɨ ³³	tɨ³³			t ɨ ³³
2327	t ə ³³	3	33	arrive	SouthernPao	tə³³	t ə ³³	tə³³			t ə ³³
2593	tʰ o !ɦ³¹/⁵⁵	3	33	arrive	SouthernPwo	tho³¹̈	tʰ o ⁵⁵	tho³¹ ̈			tʰ o ⁵⁵
2890	t ɨ ⁴⁵	3	33	arrive	SouthernSgaw	tɨ⁴⁵’	t ɨ ⁴⁵	tɨ⁴⁵’			t ɨ ⁴⁵
3189	d o ³³	3	33	arrive	WesternBwe	do³³	d o ³³	do³³			d o ³³
4	b.l a ᴮ/¹¹	4	46	arrow, dart	ProtoKaren	*blaᴮ	b l a ¹¹	*blaᴮ	arrow		b.l a ¹¹
552	p.l !a/e ¹¹	4	46	arrow, dart	Kayah	pla¹¹	p l e ¹¹	pla¹¹	arrow		p.l e ¹¹
850	p.l a ¹¹	4	46	arrow, dart	Kayan	pla¹¹	p l a ¹¹	pla¹¹	arrow		p.l a ¹¹
1142	p.l !e/a ¹¹	4	46	arrow, dart	Kayaw	ple¹¹	p l a ¹¹	ple¹¹	arrow		p.l a ¹¹
1456	!p/pʰ.l a !⁵⁵/⁵³	4	46	arrow, dart	NorthernPao	pla⁵⁵	pʰ l a ⁵³	pla⁵⁵	arrow		pʰ.l a ⁵³
1735	!p/pʰ.l a Ø/ɦ.¹¹	4	46	arrow, dart	NorthernPwo	pla¹¹̈	pʰ l a ɦ ¹¹	pla¹¹ ̈	arrow		pʰ.l a ɦ.¹¹
2016	p.l a Ø/ɦ.¹¹	4	46	arrow, dart	NorthernSgaw	pla¹¹̈	p l a ɦ ¹¹	pla¹¹ ̈	arrow		p.l a ɦ.¹¹
2328	p.l a !³³/⁵⁵	4	46	arrow, dart	SouthernPao	pla³³	p l a ⁵⁵	pla³³	arrow		p.l a ⁵⁵
2594	pʰ.l a ³³	4	46	arrow, dart	SouthernPwo	phla³³	pʰ l a ³³	phla³³	arrow		pʰ.l a ³³
2891	p.l a ³¹	4	46	arrow, dart	SouthernSgaw	pla³¹	p l a ³¹	pla³¹	arrow		p.l a ³¹
3190	b.l ɛ ³³	4	46	arrow, dart	WesternBwe	blɛ³³	b l ɛ ³³	blɛ³³	arrow		b.l ɛ ³³
5	tʰ a.ŋ ᴮ/¹¹	5	59	ascend, go up, rise	ProtoKaren	*thaŋᴮ	tʰ a ŋ ¹¹	*thaŋᴮ			tʰ a.ŋ ¹¹
553	tʰ ɛ ¹¹	5	59	ascend, go up, rise	Kayah	thɛ¹¹	tʰ ɛ ¹¹	thɛ¹¹			tʰ ɛ ¹¹
851	tʰ a.ŋ ¹¹	5	59	ascend, go up, rise	Kayan	thaŋ¹¹	tʰ a ŋ ¹¹	thaŋ¹¹			tʰ a.ŋ ¹¹
1143	h ɔ ¹¹	5	60	ascend, go up, rise	Kayaw	hɔ¹¹	h ɔ ¹¹	hɔ¹¹			h ɔ ¹¹
1457	tʰ a.ŋ ⁵⁵	5	59	ascend, go up, rise	NorthernPao	thaŋ⁵⁵	tʰ a ŋ ⁵⁵	thaŋ⁵⁵			tʰ a.ŋ ⁵⁵
1736	tʰ ɛ̃ ³³	5	59	ascend, go up, rise	NorthernPwo	thɛ̃³³	tʰ ɛ̃ ³³	thɛ̃³³			tʰ ɛ̃ ³³
2017	tʰ ɔ̃ ³¹	5	59	ascend, go up, rise	NorthernSgaw	thɔ³¹῀	tʰ ɔ̃ ³¹	thɔ³¹῀			tʰ ɔ̃ ³¹
2329	tʰ a.ŋ ³³	5	59	ascend, go up, rise	SouthernPao	thaŋ³³	tʰ a ŋ ³³	thaŋ³³			tʰ a.ŋ ³³
2595	tʰ ɔ̃ ⁵⁵	5	59	ascend, go up, rise	SouthernPwo	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵	thɔ̃⁵⁵			tʰ ɔ̃ ⁵⁵
2892	tʰ ɔ ⁴⁵	5	59	ascend, go up, rise	SouthernSgaw	thɔ⁴⁵’	tʰ ɔ ⁴⁵	thɔ⁴⁵’			tʰ ɔ ⁴⁵
3191	tʰ a ³³	5	59	ascend, go up, rise	WesternBwe	tha³³	tʰ a ³³	tha³³			tʰ a ³³
6	pʰ a ᴮ/¹¹	6	72	ashes, fireplace	ProtoKaren	*phaᴮ	pʰ a ¹¹	*phaᴮ			pʰ a ¹¹
554	pʰ e ¹¹	6	72	ashes, fireplace	Kayah	phe¹¹	pʰ e ¹¹	phe¹¹			pʰ e ¹¹
852	pʰ a ¹¹	6	72	ashes, fireplace	Kayan	pha¹¹	pʰ a ¹¹	pha¹¹			pʰ a ¹¹
1144	pʰ a ¹¹	6	72	ashes, fireplace	Kayaw	pha¹¹	pʰ a ¹¹	pha¹¹			pʰ a ¹¹
1458	pʰ a ⁵⁵	6	72	ashes, fireplace	NorthernPao	pha⁵⁵	pʰ a ⁵⁵	pha⁵⁵			pʰ a ⁵⁵
2018	pʰ ã/a ³¹	6	72	ashes, fireplace	NorthernSgaw	pha³¹῀	pʰ a ³¹	pha³¹῀			pʰ a ³¹
2330	pʰ a ³³	6	72	ashes, fireplace	SouthernPao	pha³³	pʰ a ³³	pha³³			pʰ a ³³
2893	pʰ a ⁴⁵	6	72	ashes, fireplace	SouthernSgaw	pha⁴⁵’	pʰ a ⁴⁵	pha⁴⁵’			pʰ a ⁴⁵
7	k.j a.ʔ/ʔ̚ ᴰ/⁵¹	7	81	astringent	ProtoKaren	*kjaɁᴰ	k j a ʔ̚ ⁵¹	*kjaɁᴰ			k.j a.ʔ̚ ⁵¹
555	kʰ.j a ⁵⁵	7	81	astringent	Kayah	khja⁵⁵	kʰ j a ⁵⁵	khja⁵⁵			kʰ.j a ⁵⁵
853	kʰ i.ʔ ⁴⁵	7	81	astringent	Kayan	khiɁ⁴⁵	kʰ i ʔ ⁴⁵	khiɁ⁴⁵			kʰ i.ʔ ⁴⁵
1459	kʰ.j a.ʔ ²¹	7	81	astringent	NorthernPao	khjaɁ²¹	kʰ j a ʔ ²¹	khjaɁ²¹			kʰ.j a.ʔ ²¹
1737	k ai.ʔ ⁴⁵	7	81	astringent	NorthernPwo	kaiɁ⁴⁵	k ai ʔ ⁴⁵	kaiɁ⁴⁵			k ai.ʔ ⁴⁵
2019	k i.ʔ ⁴⁵	7	81	astringent	NorthernSgaw	kiɁ⁴⁵	k i ʔ ⁴⁵	kiɁ⁴⁵			k i.ʔ ⁴⁵
2596	k ai.ʔ ³¹	7	81	astringent	SouthernPwo	kaiɁ³¹	k ai ʔ ³¹	kaiɁ³¹			k ai.ʔ ³¹
2894	k ai.ʔ ²¹	7	81	astringent	SouthernSgaw	kaiɁ²¹	k ai ʔ ²¹	kaiɁ²¹			k ai.ʔ ²¹
8	h.w a ᴮ/¹¹	8	91	bamboo	ProtoKaren	*hwaᴮ	h w a ¹¹	*hwaᴮ			h.w a ¹¹
556	w e ¹¹	8	91	bamboo	Kayah	we¹¹	w e ¹¹	we¹¹			w e ¹¹
854	h.w a ¹¹	8	91	bamboo	Kayan	hwa¹¹	h w a ¹¹	hwa¹¹~hau¹¹			h.w a ¹¹
1460	w a ⁵⁵	8	91	bamboo	NorthernPao	wa⁵⁵	w a ⁵⁵	wa⁵⁵			w a ⁵⁵
1738	w a ³³	8	91	bamboo	NorthernPwo	wa³³	w a ³³	wa³³			w a ³³
2020	w ã/a ³¹	8	91	bamboo	NorthernSgaw	wa³¹῀	w a ³¹	wa³¹῀			w a ³¹
2331	w a ³³	8	91	bamboo	SouthernPao	wa³³	w a ³³	wa³³			w a ³³
2597	w a ⁵⁵	8	91	bamboo	SouthernPwo	wa⁵⁵	w a ⁵⁵	wa⁵⁵			w a ⁵⁵
2895	w a ⁴⁵	8	91	bamboo	SouthernSgaw	wa⁴⁵’	w a ⁴⁵	wa⁴⁵’			w a ⁴⁵
3192	h !ʊ/ɛ ³³	8	91	bamboo	WesternBwe	hʊ³³	h ɛ ³³	hʊ³³			h ɛ ³³
9	kʰ a.!n/ŋ ᴬ/⁵⁵	9	103	bamboo rat	ProtoKaren	*khanᴬ	kʰ a ŋ ⁵⁵	*(jowᴮ)khanᴬ	bamboo-rat		kʰ a.ŋ ⁵⁵
855	ɟ u ¹¹ + kʰ a.ŋ ⁵³	9	2349 103	bamboo rat	Kayan	ɟu¹¹khaŋ⁵³	ɟ u ¹¹ + kʰ a ŋ ⁵³	ɟu¹¹khaŋ⁵³	muroid bamboo-rat		ɟ u ¹¹ + kʰ a.ŋ ⁵³
1145	kʰ ɔ ⁵⁵	9	103	bamboo rat	Kayaw	khɔ⁵⁵	kʰ ɔ ⁵⁵	(ju¹¹)khɔ⁵⁵	bamboo-rat		kʰ ɔ ⁵⁵
1461	kʰ a.!n/ŋ Ø/ɦ.³¹	9	103	bamboo rat	NorthernPao	khan³¹̈	kʰ a ŋ ɦ ³¹	(ju⁵⁵)khan³¹ ̈	bamboo-rat		kʰ a.ŋ ɦ.³¹
1739	kʰ ɛ̃ ³⁵	9	103	bamboo rat	NorthernPwo	khɛ̃³⁵	kʰ ɛ̃ ³⁵	khɛ̃³⁵	bamboo-rat		kʰ ɛ̃ ³⁵
2021	kʰ !ɔ/ɔ̃ ³³	9	103	bamboo rat	NorthernSgaw	khɔ³³	kʰ ɔ̃ ³³	khɔ³³	bamboo-rat		kʰ ɔ̃ ³³
2598	kʰ ɔ̃ ⁵³	9	103	bamboo rat	SouthernPwo	khɔ̃⁵³	kʰ ɔ̃ ⁵³	khɔ̃⁵³	bamboo-rat		kʰ ɔ̃ ⁵³
2896	kʰ ɔ ⁵⁵	9	103	bamboo rat	SouthernSgaw	khɔ⁵⁵	kʰ ɔ ⁵⁵	khɔ⁵⁵	bamboo-rat		kʰ ɔ ⁵⁵
3193	kʰ !ɛ/a ⁵⁵	9	103	bamboo rat	WesternBwe	khɛ⁵⁵	kʰ a ⁵⁵	khɛ⁵⁵	bamboo-rat		kʰ a ⁵⁵
11	ˀb a.ŋ ᴮ/¹¹	11	114	bamboo shoot	ProtoKaren	*Ɂbaŋᴮ	ˀb a ŋ ¹¹	*Ɂbaŋᴮ			ˀb a.ŋ ¹¹
558	b ɛ ¹¹	11	114	bamboo shoot	Kayah	bɛ¹¹	b ɛ ¹¹	bɛ¹¹			b ɛ ¹¹
857	b a.ŋ ¹¹	11	114	bamboo shoot	Kayan	baŋ¹¹	b a ŋ ¹¹	baŋ¹¹			b a.ŋ ¹¹
1147	b ɔ ¹¹	11	114	bamboo shoot	Kayaw	bɔ¹¹	b ɔ ¹¹	bɔ¹¹			b ɔ ¹¹
1463	b a.ŋ ⁵⁵	11	114	bamboo shoot	NorthernPao	baŋ⁵⁵	b a ŋ ⁵⁵	baŋ⁵⁵			b a.ŋ ⁵⁵
1741	b ɛ̃ ³³	11	114	bamboo shoot	NorthernPwo	bɛ̃³³	b ɛ̃ ³³	bɛ̃³³			b ɛ̃ ³³
2023	b ɔ̃ ³¹	11	114	bamboo shoot	NorthernSgaw	bɔ³¹῀	b ɔ̃ ³¹	bɔ³¹῀			b ɔ̃ ³¹
2333	b a.ŋ ³³	11	114	bamboo shoot	SouthernPao	baŋ³³	b a ŋ ³³	baŋ³³			b a.ŋ ³³
2600	b ɔ̃ ⁵⁵	11	114	bamboo shoot	SouthernPwo	bɔ̃⁵⁵	b ɔ̃ ⁵⁵	bɔ̃⁵⁵			b ɔ̃ ⁵⁵
2898	b ɔ ⁴⁵	11	114	bamboo shoot	SouthernSgaw	bɔ⁴⁵’	b ɔ ⁴⁵	bɔ⁴⁵’			b ɔ ⁴⁵
3195	ɓ a ³³	11	114	bamboo shoot	WesternBwe	ɓa³³	ɓ a ³³	ɓa³³			ɓ a ³³
10	s.r a ᴬ/⁵⁵	10	126	bamboo strip	ProtoKaren	*sraᴬ	s r a ⁵⁵	*sraᴬ			s.r a ⁵⁵
557	s e ³³	10	126	bamboo strip	Kayah	se³³	s e ³³	se³³			s e ³³
856	θ a ⁵³	10	126	bamboo strip	Kayan	θa⁵³	θ a ⁵³	θa⁵³			θ a ⁵³
1146	s a ⁵⁵	10	126	bamboo strip	Kayaw	sa⁵⁵	s a ⁵⁵	sa⁵⁵			s a ⁵⁵
1462	s a Ø/ɦ.³¹	10	126	bamboo strip	NorthernPao	sa³¹̈	s a ɦ ³¹	sa³¹ ̈			s a ɦ.³¹
1740	s.j a ³⁵	10	126	bamboo strip	NorthernPwo	sja³⁵	s j a ³⁵	sja³⁵			s.j a ³⁵
2022	ɕ.ɣ a ³³	10	126	bamboo strip	NorthernSgaw	ɕɣa³³	ɕ ɣ a ³³	ɕɣa³³			ɕ.ɣ a ³³
2332	s a Ø/ɦ.³¹	10	126	bamboo strip	SouthernPao	sa³¹̈	s a ɦ ³¹	sa³¹ ̈			s a ɦ.³¹
2599	θ a ⁵³	10	126	bamboo strip	SouthernPwo	θa⁵³	θ a ⁵³	θa⁵³			θ a ⁵³
2897	ɕ.ɣ a ⁵⁵	10	126	bamboo strip	SouthernSgaw	ɕɣa⁵⁵	ɕ ɣ a ⁵⁵	ɕɣa⁵⁵			ɕ.ɣ a ⁵⁵
3194	θ.r ɛ ⁵⁵	10	126	bamboo strip	WesternBwe	θrɛ⁵⁵	θ r ɛ ⁵⁵	θrɛ⁵⁵~θə⁵⁵rɛ⁵⁵			θ.r ɛ ⁵⁵
12	pʰ e.ʔ/ʔ̚ ᴰ/⁵¹	12	138	bark (n.), leather, skin	ProtoKaren	*pheɁᴰ	pʰ e ʔ̚ ⁵¹	*pheɁᴰ			pʰ e.ʔ̚ ⁵¹
559	pʰ a ⁵⁵	12	138	bark (n.), leather, skin	Kayah	pha⁵⁵	pʰ a ⁵⁵	pha⁵⁵			pʰ a ⁵⁵
1148	pʰ e ³³	12	138	bark (n.), leather, skin	Kayaw	phe³³	pʰ e ³³	phe³³			pʰ e ³³
1464	pʰ e.ʔ ²¹	12	138	bark (n.), leather, skin	NorthernPao	pheɁ²¹	pʰ e ʔ ²¹	pheɁ²¹			pʰ e.ʔ ²¹
1742	pʰ ai.ʔ ⁴⁵	12	138	bark (n.), leather, skin	NorthernPwo	phaiɁ⁴⁵	pʰ ai ʔ ⁴⁵	phaiɁ⁴⁵			pʰ ai.ʔ ⁴⁵
2024	pʰ i.ʔ ⁴⁵	12	138	bark (n.), leather, skin	NorthernSgaw	phiɁ⁴⁵	pʰ i ʔ ⁴⁵	phiɁ⁴⁵			pʰ i.ʔ ⁴⁵
2601	pʰ ai.ʔ ³¹	12	138	bark (n.), leather, skin	SouthernPwo	phaiɁ³¹	pʰ ai ʔ ³¹	phaiɁ³¹			pʰ ai.ʔ ³¹
2899	pʰ ai.ʔ ²¹	12	138	bark (n.), leather, skin	SouthernSgaw	phaiɁ²¹	pʰ ai ʔ ²¹	phaiɁ²¹			pʰ ai.ʔ ²¹
3196	pʰ e ³³	12	138	bark (n.), leather, skin	WesternBwe	phe³³	pʰ e ³³	phe³³			pʰ e ³³
13	p.l a ᴬᴮ/⁵⁵	13	149	bat	ProtoKaren	*plaᴬᴮ	p l a ⁵⁵	*plaᴬ/ᴮ			p.l a ⁵⁵
560	p.l e ¹¹	13	149	bat	Kayah	ple¹¹	p l e ¹¹	ple¹¹			p.l e ¹¹
858	b.l a ¹¹	13	149	bat	Kayan	bla¹¹	b l a ¹¹	bla¹¹			b.l a ¹¹
1149	p.l a ¹¹	13	149	bat	Kayaw	pla¹¹	p l a ¹¹	pla¹¹			p.l a ¹¹
1465	p.l a Ø/ɦ.³¹	13	149	bat	NorthernPao	pla³¹̈	p l a ɦ ³¹	pla³¹ ̈			p.l a ɦ.³¹
1743	pʰ.l a ³³	13	149	bat	NorthernPwo	phla³³	pʰ l a ³³	phla³³			pʰ.l a ³³
2025	b.l a ³³	13	149	bat	NorthernSgaw	bla³³	b l a ³³	bla³³			b.l a ³³
2334	p.l a Ø/ɦ.³¹	13	149	bat	SouthernPao	pla³¹̈	p l a ɦ ³¹	pla³¹ ̈			p.l a ɦ.³¹
2602	pʰ.l a ⁵⁵	13	149	bat	SouthernPwo	phla⁵⁵	pʰ l a ⁵⁵	phla⁵⁵			pʰ.l a ⁵⁵
2900	b.l a ⁵⁵	13	149	bat	SouthernSgaw	bla⁵⁵	b l a ⁵⁵	bla⁵⁵			b.l a ⁵⁵
3197	p.l ɛ ¹¹	13	149	bat	WesternBwe	plɛ¹¹	p l ɛ ¹¹	plɛ¹¹			p.l ɛ ¹¹
14	hl/l̥ ou ᴮ/¹¹	14	161	bathe	ProtoKaren	*hlowᴮ	l̥ ou ¹¹	*hlowᴮ			l̥ ou ¹¹
561	l o ¹¹	14	161	bathe	Kayah	lo¹¹	l o ¹¹	lo¹¹			l o ¹¹
1150	l u ¹¹	14	161	bathe	Kayaw	lu¹¹	l u ¹¹	lu¹¹			l u ¹¹
1466	l u ⁵⁵	14	161	bathe	NorthernPao	lu⁵⁵	l u ⁵⁵	lu⁵⁵			l u ⁵⁵
1744	l ou ³³	14	161	bathe	NorthernPwo	lou³³	l ou ³³	lou³³			l ou ³³
2026	l ɨ Ø/ɦ.¹¹	14	161	bathe	NorthernSgaw	lɨ¹¹̈_~_lu¹¹̈	l ɨ ɦ ¹¹	lɨ¹¹ ̈ ~ lu¹¹ ̈			l ɨ ɦ.¹¹
2335	l u ³³	14	161	bathe	SouthernPao	lu³³	l u ³³	lu³³			l u ³³
2603	l ou ⁵⁵	14	161	bathe	SouthernPwo	lou⁵⁵	l ou ⁵⁵	(Ɂɔ⁵̃ ⁵)lou⁵⁵			l ou ⁵⁵
2901	l ɨ ⁴⁵	14	161	bathe	SouthernSgaw	lɨ⁴⁵’	l ɨ ⁴⁵	lɨ⁴⁵’			l ɨ ⁴⁵
15	tʰ a.m ᴬ/⁵⁵	15	171	bear (animal)	ProtoKaren	*thamᴬ	tʰ a m ⁵⁵	*thamᴬ			tʰ a.m ⁵⁵
562	tʰ e ³³	15	171	bear (animal)	Kayah	the³³	tʰ e ³³	the³³			tʰ e ³³
859	tʰ a.ŋ ⁵³	15	171	bear (animal)	Kayan	thaŋ⁵³	tʰ a ŋ ⁵³	thaŋ⁵³			tʰ a.ŋ ⁵³
1151	tʰ ɔ ⁵⁵	15	171	bear (animal)	Kayaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵			tʰ ɔ ⁵⁵
1467	tʰ a.m Ø/ɦ.³¹	15	171	bear (animal)	NorthernPao	tham³¹̈	tʰ a m ɦ ³¹	tham³¹ ̈			tʰ a.m ɦ.³¹
1745	tʰ !ɔ̃/ã ³⁵	15	171	bear (animal)	NorthernPwo	_thɔ̃³⁵	tʰ ã ³⁵	(phɨ¹¹ ̈) thɔ̃³⁵			tʰ ã ³⁵
2336	tʰ a.m Ø/ɦ.³¹	15	171	bear (animal)	SouthernPao	tham³¹̈	tʰ a m ɦ ³¹	tham³¹ ̈			tʰ a.m ɦ.³¹
2604	tʰ ɔ̃ ⁵³	15	171	bear (animal)	SouthernPwo	thɔ̃⁵³	tʰ ɔ̃ ⁵³	(phou⁵³)thɔ̃⁵³			tʰ ɔ̃ ⁵³
3198	tʰ ɛ ⁵⁵	15	171	bear (animal)	WesternBwe	thɛ⁵⁵	tʰ ɛ ⁵⁵	thɛ⁵⁵			tʰ ɛ ⁵⁵
16	g.r a.m ᴬ/⁵⁵	16	182	bedbug	ProtoKaren	*gramᴬ	g r a m ⁵⁵	*gramᴬ			g.r a.m ⁵⁵
563	kʰ.r ɛ ¹¹	16	182	bedbug	Kayah	khrɛ¹¹	kʰ r ɛ ¹¹	khrɛ¹¹			kʰ.r ɛ ¹¹
860	c a.ŋ ³³	16	183	bedbug	Kayan	caŋ³³	c a ŋ ³³	caŋ³³			c a.ŋ ³³
1152	c ɔ ³³	16	183	bedbug	Kayaw	cɔ³³	c ɔ ³³	cɔ³³			c ɔ ³³
1468	s a.m ³³	16	184	bedbug	NorthernPao	sam³³	s a m ³³	sam³³~ɕam³³			s a.m ³³
2027	x ɔ ³³	16	185	bedbug	NorthernSgaw	xɔ³³	x ɔ ³³	xɔ³³			x ɔ ³³
2337	s a.m ⁵³	16	184	bedbug	SouthernPao	sam⁵³	s a m ⁵³	sam⁵³~saŋ⁵³			s a.m ⁵³
2902	x ɔ ³³	16	185	bedbug	SouthernSgaw	xɔ³³	x ɔ ³³	xɔ³³			x ɔ ³³
17	k.w a.t/t̚ ᴰ/⁵¹	17	191	bee (Apis cerana)	ProtoKaren	*kwatᴰ	k w a t̚ ⁵¹	*kwatᴰ			k.w a.t̚ ⁵¹
564	w ɛ ⁵⁵	17	191	bee (Apis cerana)	Kayah	wɛ⁵⁵	w ɛ ⁵⁵	wɛ⁵⁵			w ɛ ⁵⁵
861	h.w ɛ.ʔ ⁴⁵	17	191	bee (Apis cerana)	Kayan	hwɛɁ⁴⁵	h w ɛ ʔ ⁴⁵	hwɛɁ⁴⁵			h.w ɛ.ʔ ⁴⁵
1153	h.w ɛ ³³	17	191	bee (Apis cerana)	Kayaw	hwɛ³³	h w ɛ ³³	hwɛ³³~khwɛ³³			h.w ɛ ³³
1469	w a.t ²¹	17	191	bee (Apis cerana)	NorthernPao	wat²¹	w a t ²¹	wat²¹			w a.t ²¹
1746	k.w ɛ ⁵⁵	17	191	bee (Apis cerana)	NorthernPwo	kwɛ⁵⁵	k w ɛ ⁵⁵	kwɛ⁵⁵			k.w ɛ ⁵⁵
2028	k.w !ɛʔ/ɛ ⁴⁵	17	191	bee (Apis cerana)	NorthernSgaw	kwɛɁ⁴⁵	k w ɛ ⁴⁵	kwɛɁ⁴⁵			k.w ɛ ⁴⁵
2338	w a.!t/p ²¹	17	191	bee (Apis cerana)	SouthernPao	wat²¹	w a p ²¹	wat²¹			w a.p ²¹
2605	k.w ɛ Ø/ɦ.³¹	17	191	bee (Apis cerana)	SouthernPwo	kwɛ³¹̈	k w ɛ ɦ ³¹	kwɛ³¹ ̈			k.w ɛ ɦ.³¹
