Grapheme	Grouped	Plain	Frequency
u_ɴ	u.ɴ	u ɴ	5
ɨ_ɴ	ɨ.ɴ	ɨ ɴ	5
p_j	p.j	p j	5
ɨ_n	ɨ.n	ɨ n	5
u_n	u.n	u n	5
o_m	o.m	o m	5
ɛ_m	ɛ.m	ɛ m	5
m_l	m.l	m l	5
kʰ_j	kʰ.j	kʰ j	5
θ_w	θ.w	θ w	5
ũ	ũ	ũ	5
ɛ̃i	ɛ̃i	ɛ̃i	5
ɛĩ	ɛĩ	ɛĩ	5
h_w	h.w	h w	4
s_r	s.r	s r	4
ɔ_ɴ	ɔ.ɴ	ɔ ɴ	4
i_ʔ̚	i.ʔ̚	i ʔ̚	4
p_w	p.w	p w	4
ŋ_w	ŋ.w	ŋ w	4
i_m	i.m	i m	4
ʉ	ʉ	ʉ	4
aə_ʔ	aə.ʔ	aə ʔ	4
ɕ_ɣ	ɕ.ɣ	ɕ ɣ	4
θ_r	θ.r	θ r	4
g_r	g.r	g r	3
a_t̚	a.t̚	a t̚	3
cʰ_j	cʰ.j	cʰ j	3
ɲ̊	ɲ̊	ɲ̊	3
r_j	r.j	r j	3
t_r	t.r	t r	3
ɛ_n	ɛ.n	ɛ n	3
c_w	c.w	c w	3
i_ŋ	i.ŋ	i ŋ	3
β	β	β	3
a_t	a.t	a t	3
ə_n	ə.n	ə n	3
əɨ̯	əɨ̯	əɨ̯	3
pʰ_ɣ	pʰ.ɣ	pʰ ɣ	3
ĩ	ĩ	ĩ	3
a_p	a.p	a p	3
ə̃ɨ	ə̃ɨ	ə̃ɨ	3
k_j	k.j	k j	2
ɛ_ɴ	ɛ.ɴ	ɛ ɴ	2
kʰ_r_w	kʰ.r.w	kʰ r w	2
i_t	i.t	i t	2
ua	ua	ua	2
ɔ_t	ɔ.t	ɔ t	2
u_ŋ	u.ŋ	u ŋ	2
ˀd_w	ˀd.w	ˀd w	2
g_w	g.w	g w	2
ɛi	ɛi	ɛi	2
r̥	r̥	r̥	2
ʔ_j	ʔ.j	ʔ j	2
tʰ_r	tʰ.r	tʰ r	2
u_ʔ̚	u.ʔ̚	u ʔ̚	2
ˀn_w	ˀn.w	ˀn w	2
ɨ_ŋ	ɨ.ŋ	ɨ ŋ	2
m_j	m.j	m j	2
u_m	u.m	u m	2
u_t	u.t	u t	2
u_k	u.k	u k	2
